moduleCode,moduleName,year,semester,programmeId,lecHours,labHours,tutHours
CS4141,Introduction to Programming,1,1,LM174,2,1,1
CS4171,Programming for AI,1,1,LM174,2,1,1
CS4221,Foundations of Computer Science,1,1,LM174,2,1,1
MS4131,Linear Algebra 1,1,1,LM174,3,0,1
MS4021,Calculus 1,1,1,LM174,3,0,1
CS4222,Software Development,1,2,LM174,2,1,1
CS4182,Foundations of Computer Science 2,1,2,LM174,2,1,1
CS4242,Machine Learning for Interactive Systems,1,2,LM174,2,1,1
MS4122,Linear Algebra 2,1,2,LM174,3,0,1
MS4022,Calculus 2,1,2,LM174,3,0,1

CS4013,Object Oriented Development,2,1,LM174,2,1,1
CS4096,AI for Games,2,1,LM174,2,1,1
MS4613,Vector Analysis,2,1,LM174,3,0,1
CS4416,Database Systems,2,1,LM174,2,1,1
CS4023,Operating Systems,2,1,LM174,2,1,1
CS4006,Intelligent Systems,2,2,LM174,2,1,1
CS4076,Event Driven Programming,2,2,LM174,2,1,1
CS4115,Data Structures and Algorithms,2,2,LM174,2,1,1
CS4815,Computer Graphics 1,2,2,LM174,2,1,1
MA4004,Engineering Mathematics 4,2,2,LM174,3,0,1

CS4106,Machine Learning: Methods and Applications,3,2,LM174,2,1,1
CS4187,Professional Issues in Computing,3,2,LM174,2,0,1
CS4457,Project Management and Practice,3,2,LM174,2,0,1
CS4136,Topics in AI (Seminar Series),3,2,LM174,2,0,1
MS4303,Operations Research 1,3,2,LM174,3,0,1

CS4928,Theory and Practice of Software Design,4,1,LM174,2,0,1
CS4287,Neural Computing,4,1,LM174,2,1,1
CS4297,Applied System Design,4,1,LM174,2,1,1
CS6361,Language Engineering and Translation Technology,4,1,LM174,2,0,1
CS4938,AI Project 1,4,1,LM174,1,0,3

CS4168,Data Mining,4,2,LM174,2,1,1
CS4135,Software Design and Architecture,4,2,LM174,2,0,1
CS4108,AI Culture - Themes Ideas Debates,4,2,LM174,2,0,1
CS4469,AI Project 2,4,2,LM174,1,0,3